Category,Tool Name,Direct URL,Core AI Technology,Primary Use Case,Pricing Model,Free Quota Summary,Open Source,Tags,Last Updated
Content Creation,ChatGPT,https://chat.openai.com/,"LLM, Diffusion Models","Text generation assistance and image generation.",Freemium,"Daily usage limits on GPT-3.5",No,"LLM,Image,Writing",2025-09-18
Content Creation,DeepL,https://www.deepl.com/,"NLP, Translation","High-quality text and document translation.",Freemium,"Limited character & file translations",No,"Translation,Writing",2025-09-18
Content Creation,Ideogram,https://ideogram.ai/,"Diffusion Models","Generates images with coherent text typography.",Freemium,"~25 images per day",No,"Image,Typography",2025-09-18
Content Creation,Adobe Firefly,https://www.adobe.com/sensei/generative-ai/firefly.html,"Diffusion Models","Generative AI for creative image and text effects.",Freemium,"25 generative credits per month",No,"Image,Design",2025-09-18
Content Creation,HIX.AI,https://hix.ai/,"LLM, RAG, NLP","AI writer for articles ad copy and emails with SEO templates.",Freemium,"3000 words per week",No,"Writing,SEO,Image",2025-09-18
Content Creation,Copy.ai,https://www.copy.ai/,"LLM, NLP","Generates marketing copy and content ideas.",Freemium,"2000 words per month",No,"Writing,Marketing",2025-09-18
Content Creation,Rytr,https://rytr.me/,"LLM (GPT-3)","AI writing assistant for short-form content.",Freemium,"10,000 characters per month",No,"Writing,Paraphrasing",2025-09-18
Content Creation,Writesonic,https://writesonic.com/,"LLM, RAG","AI writer copywriter and paraphrasing tool.",Freemium,"10,000 words per month",No,"Writing,SEO,Image",2025-09-18
Content Creation,Descript,https://www.descript.com/,"Speech-to-Text, TTS","Edit audio and video by editing the text transcript.",Freemium,"1 hour of transcription per month",No,"Video,Audio,Editing",2025-09-18
Content Creation,Pictory,https://pictory.ai/,"Computer Vision, NLP","Creates videos from scripts or articles automatically.",Freemium,"3 videos (with watermark)",No,"Video,Text-to-Video",2025-09-18
Content Creation,QuillBot,https://quillbot.com/,"NLP, LLM","Paraphrasing summarizing and grammar checking tool.",Freemium,"125 words in paraphraser",No,"Writing,Paraphrasing",2025-09-18
Content Creation,Notion AI,https://www.notion.so/product/ai,"LLM, RAG","AI assistant integrated within the Notion productivity app.",Freemium,"Limited number of AI responses",No,"Productivity,Writing",2025-09-18
Content Creation,ClickUp AI,https://clickup.com/ai,"LLM, NLP, RAG","AI assistant for project management summaries and content.",Freemium,"100 uses",No,"Productivity,Writing",2025-09-18
Content Creation,Araby.ai,https://www.araby.ai/,"LLM, TTS, CV, NLP","Comprehensive Arabic platform for writing images and video.",Freemium,"Limited free plan",No,"Writing,Arabic,SEO",2025-09-18
Content Creation,HeyGen,https://www.heygen.com/,"Generative Avatars","Creates videos with realistic AI avatars from text.",Freemium,"1 free minute of video",No,"Video,Avatar",2025-09-18
Content Creation,Kapwing,https://www.kapwing.com/,"Computer Vision, NLP","Online video editor with AI-powered tools.",Freemium,"Exports with watermark",No,"Video,Editing",2025-09-18
Content Creation,Lex.page,https://lex.page/,"LLM","Simple intelligent text editor for writers.",Freemium,"Basic free plan",No,"Writing,AI-Writer",2025-09-18
Content Creation,Looka,https://looka.com/,"Generative AI","Designs logos and full brand identities.",Freemium,"Free to design (paid to download)",No,"Design,Logo",2025-09-18
Content Creation,Phind,https://www.phind.com/,"RAG, LLM","AI search engine for developers.",Freemium,"Basic free plan",No,"Code,Search",2025-09-18
Content Creation,Snyk,https://snyk.io/,"ML, Code Analysis","Scans code for security vulnerabilities.",Freemium,"Free plan for individuals & open source",No,"Security,Code",2025-09-18
Education,Course Hero,https://www.coursehero.com/,"LLM, RAG","Homework help and study resources.",Freemium,"Unlock content via contributions",No,"Study,RAG",2025-09-18
Education,Gradescope,https://www.gradescope.com/,"ML, OCR","Automated grading for exams and assignments.",Freemium,"Free for individuals & instructors",No,"Grading,OCR",2025-09-18
Education,TurboLearn,https://www.turbolean.ai/,"LLM","Creates summaries & flashcards from lectures.",Freemium,"Basic free plan",No,"Summarizer,Study",2025-09-18
Education,Socratic by Google,https://socratic.org/,"LLM, NLP, OCR","Homework helper that explains concepts via photos.",Free,"Completely Free",No,"Homework,OCR,Math",2025-09-18
Education,MathGPTPro,https://www.mathgptpro.com/,"LLM, OCR","Instant math problem solver with step-by-step explanations.",Free,"Completely Free",No,"Math,Solver,OCR",2025-09-18
Education,Read Along by Google,https://readalong.google.com/,"Speech-to-Text","Helps children learn to read aloud with real-time feedback.",Free,"Completely Free",No,"Reading,Kids,STT",2025-09-18
Education,Grammarly,https://www.grammarly.com/,"NLP","Writing assistant for grammar and style.",Freemium,"Powerful free plan for basics",No,"Writing,Grammar",2025-09-18
Education,Quizlet,https://quizlet.com/,"ML, LLM","Study tools and flashcards with AI assistance.",Freemium,"Most creation tools are free",No,"Study,Flashcards",2025-09-18
Education,Elicit.org,https://elicit.org/,"LLM, RAG","AI research assistant for academic papers.",Freemium,"One-time free credits",No,"Research,RAG,Academic",2025-09-18
Education,Scispace,https://typeset.io/,"LLM, RAG","Platform for reading and understanding research papers.",Freemium,"Basic free plan",No,"Research,PDF,Academic",2025-09-18
Education,Cognii,https://www.cognii.com/,"NLP, LLM","Assesses open-ended student answers to improve writing.",Freemium,"Free individual services",No,"Writing,Assessment",2025-09-18
Education,Century Tech,https://www.century.tech/,"LLM, ML","Adaptive learning platform with personalized paths.",Freemium,"Extensive free resources",No,"Adaptive Learning,Education",2025-09-18
Education,Carnegie Learning,https://www.carnegielearning.com/,"AI Tutoring, ML","AI tutoring with a focus on math and computer science.",Freemium,"Free versions for students/teachers",No,"Math,Tutoring",2025-09-18
Education,TTSMaker,https://ttsmaker.com/,"Text-to-Speech","Converts written text into high-quality audio.",Free,"Completely Free",No,"TTS,Audio",2025-09-18
Education,Wolfram Alpha,https://www.wolframalpha.com/,"Computational Intelligence","Computational engine for math and science questions.",Freemium,"Basic free plan (answers only)",No,"Math,Science,Computation",2025-09-18
Education,Zotero,https://www.zotero.org/,"NLP, ML","Manages and cites academic references automatically.",Free,"Completely Free",Yes,"Research,Citation,Open Source",2025-09-18
Education,Semantic Scholar,https://www.semanticscholar.org/,"NLP, RAG","AI-powered search engine for scientific literature.",Free,"Completely Free",No,"Research,Academic",2025-09-18
Education,Google Dataset Search,https://datasetsearch.research.google.com/,"Search","Search engine for datasets hosted across the web.",Free,"Completely Free",No,"Data,Research",2025-09-18
Image & Video,RunwayML,https://runwayml.com/,"Diffusion Models, CV","AI video editing generation and image-to-video.",Freemium,"125 credits (one-time)",No,"Video,Image,Gen-AI",2025-09-18
Image & Video,Luma AI (Dream Machine),https://lumalabs.ai/dream-machine,"Diffusion Models, CV","High-quality cinematic video generation from text/images.",Freemium,"30 free videos per month",No,"Video,Gen-AI,3D",2025-09-18
Image & Video,Pika Labs,https://pika.art/,"Diffusion Models, GAN","Generates short video clips from text or 
Image & Video,Durofy,https://durofy.com/,"Diffusion Models","Free AI magazine cover generator. Upload a photo, pick a style, get a magazine cover.",Freemium,"3 free covers, no signup",No,"Image,Design,Magazine",2026-09-14images.",Freemium,"Initial free credits",No,"Video,Gen-AI",2025-09-18
Image & Video,Stable Video Diffusion,https://huggingface.co/stabilityai/stable-video-diffusion-img2vid-xt,"Diffusion Models","Generates short video clips from a source image.",Free,"Completely Free",Yes,"Video,Gen-AI,Open Source",2025-09-18
Image & Video,Maestra,https://maestra.ai/ar/video-translator,"TTS, ASR, NLP","Automatically translates and dubs videos into 125+ languages.",Freemium,"15 minutes of free transcription",No,"Video,Translation,Dubbing",2025-09-18
Image & Video,Zeemo AI,https://zeemo.ai/ar/tools/video-translator,"ASR, NLP, CV","Transcribes and translates videos with editable subtitles.",Freemium,"5 free minutes per month",No,"Video,Subtitles,Translation",2025-09-18
Image & Video,NoteGPT,https://notegpt.io/youtube-video-summarizer,"LLM, ASR","Summarizes long YouTube videos without registration.",Free,"Completely Free",No,"Video,Summarizer,YouTube",2025-09-18
